species_code,common_name,scientific_name,class
bichaw1,Bicolored Hawk,Accipiter bicolor,147
crahaw,Crane Hawk,Geranospiza caerulescens,148
savhaw1,Savanna Hawk,Buteogallus meridionalis,149
grbhaw1,Great Black Hawk,Buteogallus urubitinga,150
croeag1,Chaco Eagle,Buteogallus coronatus,151
roahaw,Roadside Hawk,Rupornis magnirostris,152
hrshaw,Harris's Hawk,Parabuteo unicinctus,153
whthaw,White-tailed Hawk,Geranoaetus albicaudatus,154
rebhaw2,Variable Hawk,Geranoaetus polyosoma,155
bcbeag1,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,156
shthaw,Short-tailed Hawk,Buteo brachyurus,157
swahaw,Swainson's Hawk,Buteo swainsoni,158
zothaw,Zone-tailed Hawk,Buteo albonotatus,159
brnowl,Barn Owl,Tyto alba,160
trsowl,Tropical Screech-Owl,Megascops choliba,161
grhowl,Great Horned Owl,Bubo virginianus,162
fepowl,Ferruginous Pygmy-Owl,Glaucidium brasilianum,163
burowl,Burrowing Owl,Athene cunicularia,164
chaowl1,Chaco Owl,Strix chacoensis,165
strowl1,Striped Owl,Asio clamator,166
styowl1,Stygian Owl,Asio stygius,167
sheowl,Short-eared Owl,Asio flammeus,168
bufowl1,Buff-fronted Owl,Aegolius harrisii,169
rinkin1,Ringed Kingfisher,Megaceryle torquata,170
amakin1,Amazon Kingfisher,Chloroceryle amazona,171
grnkin,Green Kingfisher,Chloroceryle americana,172
spbpuf1,Spot-backed Puffbird,Nystalus maculatus,173
toctou1,Toco Toucan,Ramphastos toco,174
whbpic1,White-barred Piculet,Picumnus cirratus,175
whiwoo1,White Woodpecker,Melanerpes candidus,176
whfwoo1,White-fronted Woodpecker,Melanerpes cactorum,177
chewoo3,Checkered Woodpecker,Dryobates mixtus,178
crbwoo2,Cream-backed Woodpecker,Campephilus leucopogon,179
blbwoo3,Black-bodied Woodpecker,Dryocopus schulzii,180
gogwoo1,Golden-green Woodpecker,Piculus chrysochloros,181
grbwoo3,Green-barred Woodpecker,Colaptes melanochloros,182
camfli1,Campo Flicker,Colaptes campestris,183
relser1,Red-legged Seriema,Cariama cristata,184
bllser1,Black-legged Seriema,Chunga burmeisteri,185
coffal1,Collared Forest-Falcon,Micrastur semitorquatus,186
soucar1,Southern Caracara,Caracara plancus,187
